id,count
0,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,5
32,5
33,6
34,6
35,4
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,4
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,4
62,6
63,6
64,4
65,6
66,4
67,4
68,5
69,5
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,4
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,5
86,6
87,6
88,6
89,6
90,4
91,6
92,6
93,6
94,5
95,6
96,6
97,4
98,4
99,5
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,5
109,6
110,6
111,5
112,5
113,6
114,4
115,4
116,5
117,5
118,4
119,6
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,17
130,16
131,15
132,17
133,17
134,17
135,16
136,17
137,16
138,13
139,16
140,17
141,16
142,15
143,16
144,15
145,15
146,15
147,17
148,17
149,17
150,17
151,17
152,17
153,17
154,17
155,17
156,17
157,17
158,17
159,17
160,17
161,14
162,17
163,17
164,17
165,17
166,16
167,17
168,16
169,16
170,16
171,17
172,17
173,14
174,17
175,15
176,15
177,17
178,15
179,15
180,16
181,16
182,16
183,16
184,15
185,16
186,15
187,15
188,16
189,16
190,15
191,15
192,16
193,16
194,15
195,15
196,15
197,17
198,15
199,17
200,15
201,15
202,16
203,16
204,16
205,15
206,16
207,15
208,15
209,16
210,16
211,16
212,16
213,16
214,16
215,16
216,17
217,17
218,17
219,17
220,17
221,17
222,17
223,17
224,17
225,17
226,17
227,17
228,17
229,17
230,17
231,17
232,17
233,17
234,17
235,17
236,17
237,17
238,17
239,17
240,17
241,17
242,17
243,17
244,17
245,17
246,17
247,17
248,17
249,17
250,17
251,17
252,17
253,17
254,17
255,17
256,17
257,17
258,17
259,17
260,17
261,17
262,17
263,17
264,17
265,17
266,17
267,15
268,16
269,15
270,15
271,17
272,15
273,18
274,17
275,15
276,17
277,15
278,15
279,15
280,14
281,17
282,16
283,14
284,18
285,14
286,16
287,17
288,14
289,17
290,14
291,17
292,16
293,16
294,17
295,17
296,17
297,17
298,17
299,14
300,14
301,17
302,18
303,17
304,17
305,18
306,17
307,17
308,18
309,17
310,17
311,17
312,18
313,18
314,15
315,15
316,15
317,15
318,15
319,15
320,15
321,15
322,15
323,15
324,15
325,15
326,15
327,15
328,15
329,15
330,15
331,15
332,15
333,15
334,15
335,15
336,15
337,15
338,15
339,15
340,15
341,15
342,15
343,15
344,15
345,15
346,15
347,15
348,15
349,15
350,15
351,15
352,15
353,15
354,15
355,15
356,15
357,15
358,15
359,15
360,15
361,15
362,15
363,15
364,15
365,15
366,15
367,15
368,15
369,15
370,15
371,15
372,15
373,15
374,15
375,15
376,15
377,15
378,15
379,15
380,15
381,15
382,15
383,15
384,15
385,15
386,15
387,15
388,15
389,15
390,15
391,15
392,15
393,15
394,15
395,15
396,15
397,15
398,15
399,16
400,16
401,16
402,16
403,16
404,16
405,16
406,16
407,16
408,16
409,16
410,16
411,16
412,16
413,16
414,16
415,16
416,16
417,16
418,16
419,16
420,16
421,16
422,16
423,16
424,16
425,16
426,15
427,16
428,16
429,16
430,16
431,16
432,16
433,15
434,16
435,15
436,16
437,16
438,15
439,15
440,15
441,17
442,17
443,17
444,16
445,16
446,16
447,16
448,16
449,16
450,16
451,16
452,15
453,16
454,16
455,16
456,16
457,16
458,16
459,16
460,16
461,15
462,16
463,16
464,16
465,16
466,16
467,17
468,16
469,17
470,16
471,0
472,16
473,16
474,16
475,16
476,16
477,17
478,16
479,17
480,16
481,16
482,16
483,17
484,17
485,17
486,16
487,17
488,17
489,17
490,17
491,17
492,17
493,17
494,17
495,17
496,17
497,17
498,18
499,17
500,18
501,18
502,16
503,16
504,16
505,16
506,16
507,16
508,16
509,16
510,15
511,15
512,15
513,15
514,15
515,15
516,15
517,15
518,15
519,15
520,15
521,15
522,15
523,15
524,15
525,15
526,15
527,15
528,15
529,15
530,15
531,15
532,15
533,15
534,15
535,15
536,15
537,15
538,15
539,15
540,15
541,15
542,15
543,15
544,15
545,15
546,15
547,15
548,15
549,15
550,15
551,15
552,15
553,15
554,15
555,15
556,15
557,15
558,15
559,15
560,15
561,15
562,15
563,15
564,15
565,15
566,15
567,15
568,15
569,15
570,15
571,15
572,15
573,15
574,15
575,15
576,15
577,15
578,15
579,15
580,15
581,15
582,15
583,15
584,15
585,15
586,15
587,15
588,15
589,15
590,15
591,15
592,15
593,15
594,15
595,15
596,15
597,15
598,15
599,15
600,15
601,15
602,15
603,15
604,15
605,15
606,15
607,15
608,15
609,15
610,15
611,15
612,15
613,15
614,15
615,15
616,15
617,15
618,17
619,17
620,17
621,17
622,17
623,17
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
632,17
633,17
634,17
635,17
636,17
637,17
638,17
639,17
640,17
641,17
642,17
643,17
644,17
645,17
646,17
647,17
648,17
649,17
650,17
651,17
652,17
653,17
654,17
655,17
656,17
657,17
658,17
659,17
660,17
661,17
662,17
663,17
664,17
